"filename", "language", "XML", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/misc.xml", "XML", -6, 0, 0, 0, 0, 0, -6
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/modules.xml", "XML", -8, 0, 0, 0, 0, 0, -8
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/qrms_frontend.iml", "XML", -9, 0, 0, 0, 0, 0, -9
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/.idea/vcs.xml", "XML", -6, 0, 0, 0, 0, 0, -6
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/README.md", "Markdown", 0, 0, 0, -38, 0, -33, -71
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/package-lock.json", "JSON", 0, -21061, 0, 0, 0, -1, -21062
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/package.json", "JSON", 0, -51, 0, 0, 0, -1, -52
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/public/index.html", "HTML", 0, 0, -20, 0, 0, -1, -21
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/public/manifest.json", "JSON", 0, -25, 0, 0, 0, -1, -26
"Total", "-", -29, -21137, -20, -38, 0, -37, -21261
