"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/App.css", "CSS", 0, 0, 56, 0, 10, 66
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/App.js", "JavaScript", 56, 0, 0, 1, 9, 66
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/AdminDashboard.js", "JavaScript", 13, 0, 0, 0, 6, 19
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/CourseList.css", "CSS", 0, 0, 24, 0, 5, 29
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/CourseList.js", "JavaScript", 34, 0, 0, 1, 5, 40
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Footer.css", "CSS", 0, 0, 30, 1, 7, 38
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Footer.js", "JavaScript", 16, 0, 0, 1, 4, 21
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Header.css", "CSS", 0, 0, 46, 1, 10, 57
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Header.js", "JavaScript", 36, 0, 0, 1, 6, 43
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/HomePage.js", "JavaScript", 40, 0, 0, 11, 9, 60
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Layout.js", "JavaScript", 93, 0, 0, 8, 8, 109
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/LoginPage.css", "CSS", 0, 0, 70, 3, 13, 86
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/LoginPage.js", "JavaScript", 141, 0, 0, 7, 17, 165
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/MarkAttendance.js", "JavaScript", 52, 0, 0, 6, 10, 68
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/MarkAttendanceForm.js", "JavaScript", 159, 0, 0, 0, 18, 177
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ProfessorDashboard.js", "JavaScript", 146, 0, 0, 0, 11, 157
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/QRCodeGenerator.css", "CSS", 0, 0, 26, 0, 4, 30
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/QRCodeGenerator.js", "JavaScript", 81, 0, 0, 6, 10, 97
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/StudentDashboard.js", "JavaScript", 81, 0, 0, 0, 9, 90
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/SubmissionDetails.css", "CSS", 0, 0, 103, 4, 24, 131
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/SubmissionDetails.js", "JavaScript", 46, 0, 0, 5, 14, 65
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ViewAttendance.css", "CSS", 0, 0, 29, 2, 7, 38
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ViewAttendance.js", "JavaScript", 238, 0, 0, 17, 27, 282
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ViewAttendanceStudent.js", "JavaScript", 251, 0, 0, 19, 31, 301
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/index.css", "CSS", 0, 0, 12, 0, 2, 14
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/logo.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 1515, 1, 396, 101, 284, 2297
